what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1426520576291
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426520576838
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426520634277
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426520636145
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426520641614
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426520644499
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426520646029
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426520646913
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426520648684
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426520652837
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426520675050
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1426520675136
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1426520675136
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426520678417
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426520749221
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426520766469
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1426520774990
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1426521801067
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1426521802978
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1426521916694
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426522008863
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1426522011691
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1426522012738
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426522017566
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426522049489
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426522051733
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426522096323
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1426522099135
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1426522100729
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426522109997
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1426522114816
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426522121847
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1426522121988
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426522122550
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426522138270
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1426522164325
